treatment,session,subject,period,board,expect,box,result,boardtype
independent,140311_1551,2,6,blue,8,21,miss,low
independent,140311_1551,3,6,blue,3,21,miss,low
independent,140311_1551,4,6,blue,7,21,miss,low
independent,140311_1551,5,6,blue,2,21,miss,low
independent,140311_1551,6,6,blue,5,21,miss,low
independent,140311_1551,7,6,blue,2,21,miss,low
independent,140311_1551,8,6,blue,5,21,miss,low
independent,140311_1551,9,6,blue,4,21,miss,low
independent,140311_1551,2,7,blue,1,8,miss,low
independent,140311_1551,3,7,blue,2,8,miss,low
independent,140311_1551,4,7,blue,7,8,miss,low
independent,140311_1551,5,7,blue,2,8,miss,low
independent,140311_1551,6,7,blue,5,8,miss,low
independent,140311_1551,7,7,blue,2,8,miss,low
independent,140311_1551,8,7,blue,2,8,miss,low
independent,140311_1551,9,7,blue,5,8,miss,low
independent,140311_1551,2,8,yellow,10,7,hit,high
independent,140311_1551,3,8,yellow,5,7,hit,high
independent,140311_1551,4,8,yellow,6,7,hit,high
independent,140311_1551,5,8,yellow,2,7,hit,high
independent,140311_1551,6,8,yellow,6,7,hit,high
independent,140311_1551,7,8,yellow,2,7,hit,high
independent,140311_1551,8,8,yellow,2,7,hit,high
independent,140311_1551,9,8,yellow,7,7,hit,high
independent,140311_1551,2,9,blue,1,34,miss,low
independent,140311_1551,3,9,blue,1,34,miss,low
independent,140311_1551,4,9,blue,10,34,miss,low
independent,140311_1551,5,9,blue,2,34,miss,low
independent,140311_1551,6,9,blue,6,34,miss,low
independent,140311_1551,7,9,blue,2,34,miss,low
independent,140311_1551,8,9,blue,3,34,miss,low
independent,140311_1551,9,9,blue,2,34,miss,low
independent,140311_1551,2,10,yellow,10,66,miss,high
independent,140311_1551,3,10,yellow,7,66,miss,high
independent,140311_1551,4,10,yellow,5,66,miss,high
independent,140311_1551,5,10,yellow,2,66,miss,high
independent,140311_1551,6,10,yellow,5,66,miss,high
independent,140311_1551,7,10,yellow,4,66,miss,high
independent,140311_1551,8,10,yellow,5,66,miss,high
independent,140311_1551,9,10,yellow,3,66,miss,high
independent,140312_1452,2,1,yellow,2,70,miss,high
